【吐嚎】只有不到1%的人听说过，日本影史最奇葩怪兽基拉拉,2621
【吐嚎】印度开挂战争片1人单挑10辆坦克，抗日神剧只能甘拜下风,2103
【吐嚎】奇葩10爪乌贼怪挑战日本摔跤冠军还要抢他女友,1919
【吐嚎】小警员上班仅1天就当上局长，爆笑试玩生化危机2重置版(恶灵古堡),543
【吐嚎】100米长巨鲨大战史前食人鳄，美国5毛特效竟然也这么渣,354
【吐嚎】为什么精神分裂同事总喜欢和冰箱聊天,334
【吐嚎】美国问题少年拜师成龙学习中国功夫,255
【吐嚎】落魄男穿越到女儿国，只住了3天就要回家,255
【吐嚎】中国僵尸VS非洲僵尸，究竟谁能取胜,213
【吐嚎】跪着看完美国开挂超级英雄“萝卜侠”,208
【吐嚎】天天刷广告的贪玩蓝月到底是一款什么样的游戏？,191
【吐嚎影院】《地球防卫小寡妇》双眼已雷瞎,179
【吐嚎】无敌巨鲨大战进击的巨人，最终谁能获胜？,156
【吐嚎】印度开挂版碟中谍精彩不输于碟中谍6,142
【吐嚎】6个头的大白鲨你见过么？,140
【吐嚎】7岁少林武僧摧毁日本电子竞技未来,127
【吐嚎影院】吐槽《日本以外全部沉没》,124
【吐嚎】为什么路边的野花不能采,120
【吐嚎】闪瞎双眼的少林寺十八铜女,133
【吐嚎】非洲5毛特效版终结者大战铁血战士，看完真的流泪了,111
【吐嚎】史上最奇葩的圣诞恐怖片，可爱雪人竟然变身连环杀手,106
【吐嚎】巨型鲨鱼大战霸王龙，超级烂片鲨卷风又来了,105
【吐嚎影院】你根本不配做美国的队长！,103
【吐嚎】印度苍蝇侠完爆美国蜘蛛侠,92
【吐嚎】全程跪着看完的真人版葫芦娃,93
【吐嚎】变形金刚电影《大黄蜂》竟然有山寨版《大马蜂》？,93
【吐嚎】速度与激情竟有山寨版,93
【吐嚎】章鱼鲨大战狼鲸？世上竟有如此奇葩的生物,89
【吐嚎】仅仅10关的小游戏，直接玩的我自闭了,89
【吐嚎】贞子大战碟仙？看的我都笑出腹肌了,87
【吐嚎】人生模拟器3小时模拟从出生到高考，看看你能考上哪所大学,86
【吐嚎】史上最搞笑的连环杀手——惊声尖笑,83
【吐嚎影院】印度神片完胜抗日神剧,86
【吐嚎】2019年中美合拍西游记还没上映？只能玩六老师推荐的手游了,83
【吐嚎】校花起诉老师性骚扰，真相却远比这复杂100倍,85
【吐嚎】我被史上最烂动作游戏骗了6块钱,79
【吐嚎】山寨电影《少年陈浩南》古惑仔看完想退出江湖,84
【吐嚎】美国人靠打乒乓球拯救世界？中国人表示不服,81
【吐嚎】鬼片看到一半突然变成了抗日神剧,81
【吐嚎】《战狼2》竟然惨遭山寨翻拍,79
